QUERY: 	new coronavirus cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags	Cluster
1	9556	Dec. 6 Covid news and updates on latest with vaccines https://t.co/OEF0GsPf4e via @NBCNews #covid19 #coronavirus #vaccine	NNVCNYSE	Mon Dec 07 14:55:30 +0000 2020	https://twitter.com/twitter/statuses/1335961138257940483	0	0	[{'text': 'covid19', 'indices': [91, 99]}, {'text': 'coronavirus', 'indices': [100, 112]}, {'text': 'vaccine', 'indices': [113, 121]}]	1
2	9515	WATCH PLEASE. PROTECT YOUR FAMILIES. #vaccines #vaccine #coronavirusvaccine #coronavirus #covid_19 #covid #fakevaccine #fuckyourvaccine https://t.co/emcXPAKIMx	spazecraft	Mon Dec 07 14:55:06 +0000 2020	https://twitter.com/twitter/statuses/1335961034251649026	0	0	[{'text': 'vaccines', 'indices': [37, 46]}, {'text': 'vaccine', 'indices': [47, 55]}, {'text': 'coronavirusvaccine', 'indices': [56, 75]}, {'text': 'coronavirus', 'indices': [76, 88]}, {'text': 'covid_19', 'indices': [89, 98]}, {'text': 'covid', 'indices': [99, 105]}, {'text': 'fakevaccine', 'indices': [106, 118]}, {'text': 'fuckyourvaccine', 'indices': [119, 135]}]	1
3	9518	📹 WATCH PLEASE. PROTECT YOUR FAMILIES. #vaccines #vaccine #coronavirusvaccine #coronavirus #covid_19 #covid #fakevaccine #fuckyourvaccine https://t.co/elOqFYos9X https://t.co/UblU0eeyls	spazecraft	Mon Dec 07 14:55:07 +0000 2020	https://twitter.com/twitter/statuses/1335961037997285377	0	0	[{'text': 'vaccines', 'indices': [39, 48]}, {'text': 'vaccine', 'indices': [49, 57]}, {'text': 'coronavirusvaccine', 'indices': [58, 77]}, {'text': 'coronavirus', 'indices': [78, 90]}, {'text': 'covid_19', 'indices': [91, 100]}, {'text': 'covid', 'indices': [101, 107]}, {'text': 'fakevaccine', 'indices': [108, 120]}, {'text': 'fuckyourvaccine', 'indices': [121, 137]}]	1
4	15983	#covid deadier than #flu get your #vaccine #lockdown https://t.co/72KsiI5BD3	YanneJhen	Mon Dec 07 16:15:42 +0000 2020	https://twitter.com/twitter/statuses/1335981320141295616	0	0	[{'text': 'covid', 'indices': [0, 6]}, {'text': 'flu', 'indices': [20, 24]}, {'text': 'vaccine', 'indices': [34, 42]}, {'text': 'lockdown', 'indices': [43, 52]}]	1
5	14059	"Damn, the world out here doing a COVID vaccine speedrun

#COVID19 #coronavirus"	jdr_rose	Mon Dec 07 15:49:16 +0000 2020	https://twitter.com/twitter/statuses/1335974666742222848	0	0	[{'text': 'COVID19', 'indices': [57, 65]}, {'text': 'coronavirus', 'indices': [66, 78]}]	1
6	7209	#covid deadier than #flu get your #vaccine #lockdown https://t.co/1ruky2Bx6j	Suyal50057699	Mon Dec 07 14:31:22 +0000 2020	https://twitter.com/twitter/statuses/1335955064456790018	0	0	[{'text': 'covid', 'indices': [0, 6]}, {'text': 'flu', 'indices': [20, 24]}, {'text': 'vaccine', 'indices': [34, 42]}, {'text': 'lockdown', 'indices': [43, 52]}]	1
7	617	"Mandatory Covid Vaccine Coming SOON! #coronavirus 💉💉💉
https://t.co/2ap6IPt4KV"	PatriotLisa777	Mon Dec 07 12:53:45 +0000 2020	https://twitter.com/twitter/statuses/1335930494953918467	0	0	[{'text': 'coronavirus', 'indices': [37, 49]}]	1
8	15217	"Covid live updates and vaccine news: Latest vaccine plans and state restrictions, NBC News #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/4nv3Xg5ONA"	covidnewsCH	Mon Dec 07 16:04:08 +0000 2020	https://twitter.com/twitter/statuses/1335978409328078849	0	0	[{'text': 'coronavirus', 'indices': [91, 103]}, {'text': 'COVID19', 'indices': [104, 112]}, {'text': 'CoronaInfoCH', 'indices': [113, 126]}, {'text': 'Corona', 'indices': [127, 134]}, {'text': 'COVID', 'indices': [135, 141]}, {'text': 'COVID19', 'indices': [142, 150]}, {'text': 'Covid_19', 'indices': [151, 160]}, {'text': 'SARSCoV2', 'indices': [161, 170]}]	1
9	1192	"#COVID19 #CovidVaccine #CoronavirusVaccine #covid_19 #COVIDー19 #COVID #coronavirus #lockdown #vaccine #vaccines 

Of course they would put their Corona (crown) logo on it because it was all a plandemic. https://t.co/doIcsgNHs3"	5GenocIDe	Mon Dec 07 13:03:45 +0000 2020	https://twitter.com/twitter/statuses/1335933013499256838	0	0	[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'CovidVaccine', 'indices': [9, 22]}, {'text': 'CoronavirusVaccine', 'indices': [23, 42]}, {'text': 'covid_19', 'indices': [43, 52]}, {'text': 'COVIDー19', 'indices': [53, 62]}, {'text': 'COVID', 'indices': [63, 69]}, {'text': 'coronavirus', 'indices': [70, 82]}, {'text': 'lockdown', 'indices': [83, 92]}, {'text': 'vaccine', 'indices': [93, 101]}, {'text': 'vaccines', 'indices': [102, 111]}]	1
10	1868	"Here’s how the US, China, the UK, and other countries are planning to distribute #COVID19 #Vaccines to their populations…

https://t.co/dAJ4MzA09L #VaccinesWork #Vaccine #COVID #Coronavirus #COVID19vaccine #CoronavirusVaccine #Vaccinations #Pandemic #PublicHealth #Logistics"	Joseph_Santoro	Mon Dec 07 13:15:03 +0000 2020	https://twitter.com/twitter/statuses/1335935857958809602	0	0	[{'text': 'COVID19', 'indices': [81, 89]}, {'text': 'Vaccines', 'indices': [90, 99]}, {'text': 'VaccinesWork', 'indices': [147, 160]}, {'text': 'Vaccine', 'indices': [161, 169]}, {'text': 'COVID', 'indices': [170, 176]}, {'text': 'Coronavirus', 'indices': [177, 189]}, {'text': 'COVID19vaccine', 'indices': [190, 205]}, {'text': 'CoronavirusVaccine', 'indices': [206, 225]}, {'text': 'Vaccinations', 'indices': [226, 239]}, {'text': 'Pandemic', 'indices': [240, 249]}, {'text': 'PublicHealth', 'indices': [250, 263]}, {'text': 'Logistics', 'indices': [264, 274]}]	1
