QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
14	3481	"6,557 new cases and 56 new deaths in Serbia 

[14:23 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 14:23:57 +0000 2020	https://twitter.com/twitter/statuses/1335953195378626560	0	0	[{'text': 'coronavirus', 'indices': [58, 70]}, {'text': 'CoronaVirusUpdate', 'indices': [71, 89]}, {'text': 'COVID19', 'indices': [90, 98]}, {'text': 'CoronavirusPandemic', 'indices': [99, 119]}]
15	15606	"2,485 new cases and 218 new deaths in Austria 

[10:39 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 10:39:20 +0000 2020	https://twitter.com/twitter/statuses/1339520549475786752	0	0	[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'CoronaVirusUpdate', 'indices': [73, 91]}, {'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CoronavirusPandemic', 'indices': [101, 121]}]
16	15439	"2,485 new cases and 218 new deaths in Austria 

[10:31 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 10:31:02 +0000 2020	https://twitter.com/twitter/statuses/1339518460607549440	0	0	[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'CoronaVirusUpdate', 'indices': [73, 91]}, {'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CoronavirusPandemic', 'indices': [101, 121]}]
17	732	"1,383 new cases and 98 new deaths in Greece 

[17:00 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Sat Dec 05 17:00:47 +0000 2020	https://twitter.com/twitter/statuses/1335267890635935745	0	0	[{'text': 'coronavirus', 'indices': [58, 70]}, {'text': 'CoronaVirusUpdate', 'indices': [71, 89]}, {'text': 'COVID19', 'indices': [90, 98]}, {'text': 'CoronavirusPandemic', 'indices': [99, 119]}]
18	18914	"4,034 new cases and 17 new deaths in Denmark 

[13:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 13:13:29 +0000 2020	https://twitter.com/twitter/statuses/1339559342530584576	0	0	[{'text': 'coronavirus', 'indices': [59, 71]}, {'text': 'CoronaVirusUpdate', 'indices': [72, 90]}, {'text': 'COVID19', 'indices': [91, 99]}, {'text': 'CoronavirusPandemic', 'indices': [100, 120]}]
19	2740	"437 new cases and 60 new deaths in Bosnia and Herzegovina 

[13:56 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 13:56:27 +0000 2020	https://twitter.com/twitter/statuses/1335946275750080518	0	0	[{'text': 'coronavirus', 'indices': [72, 84]}, {'text': 'CoronaVirusUpdate', 'indices': [85, 103]}, {'text': 'COVID19', 'indices': [104, 112]}, {'text': 'CoronavirusPandemic', 'indices': [113, 133]}]
20	5676	"13,007 new cases and 102 new deaths in the United States 

[15:40 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 15:40:14 +0000 2020	https://twitter.com/twitter/statuses/1335972393332961282	0	0	[{'text': 'coronavirus', 'indices': [71, 83]}, {'text': 'CoronaVirusUpdate', 'indices': [84, 102]}, {'text': 'COVID19', 'indices': [103, 111]}, {'text': 'CoronavirusPandemic', 'indices': [112, 132]}]
QUERY: 	covid vaccine
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	12623	Covid vaccine tomorrow!!! Wahoo!!!	SassyRedGurl	Wed Dec 16 22:16:59 +0000 2020	https://twitter.com/twitter/statuses/1339333729030909958	0	1	[]
2	12879	"COVID vaccines arrive at VCH and immunizations are underway. #drivekmj
https://t.co/zx4jiRpRa6"	DriveKMJ	Wed Dec 16 22:17:15 +0000 2020	https://twitter.com/twitter/statuses/1339333797763014658	0	0	[{'text': 'drivekmj', 'indices': [61, 70]}]
3	8580	Are we taking  covid vaccine frfr	Tori_Tosh	Wed Dec 16 22:12:51 +0000 2020	https://twitter.com/twitter/statuses/1339332687765655560	0	0	[]
4	14394	The John Williams NewsClick: The COVID vaccine https://t.co/wpmKk7aNaB	WGNRadio	Wed Dec 16 22:18:50 +0000 2020	https://twitter.com/twitter/statuses/1339334194934272006	1	0	[]
5	10328	Put the covid vaccine in the percs	tokyo_bradshaw	Wed Dec 16 22:14:40 +0000 2020	https://twitter.com/twitter/statuses/1339333145372594186	0	0	[]
6	100	"The Global Race For COVID Vaccine By Reuben Abati
https://t.co/nUpqbR7uiD https://t.co/1hvVuMPXfh"	naija_reports	Wed Nov 18 10:19:18 +0000 2020	https://twitter.com/twitter/statuses/1329006258087727106	0	0	[]
7	11281	Protect yourself from COVID vaccine scams | #onlinescams | #scams | #internetscams https://t.co/r0dUHfn9Fq	NcsVentures	Wed Dec 16 22:15:36 +0000 2020	https://twitter.com/twitter/statuses/1339333382191329283	0	0	[{'text': 'onlinescams', 'indices': [44, 56]}, {'text': 'scams', 'indices': [59, 65]}, {'text': 'internetscams', 'indices': [68, 82]}]
8	7903	Just scheduled myself to get the covid vaccine	QueeneyFeeney	Wed Dec 16 22:12:06 +0000 2020	https://twitter.com/twitter/statuses/1339332500926181376	0	0	[]
9	11446	Teachers Should Get the Covid Vaccine First - WSJ https://t.co/Uk7QECeqXr	michaeldrich	Wed Dec 16 22:15:46 +0000 2020	https://twitter.com/twitter/statuses/1339333425069662209	0	5	[]
10	1262	"Mandatory Covid Vaccine Coming SOON! #coronavirus 💉💉💉
https://t.co/2ap6IPt4KV"	PatriotLisa777	Mon Dec 07 12:53:45 +0000 2020	https://twitter.com/twitter/statuses/1335930494953918467	0	0	[{'text': 'coronavirus', 'indices': [37, 49]}]
11	11283	Weird those were the same symptoms when i had COVID. Is the vaccine like smallpox, a live vaccine???? COVID-19 Vaccine Trial Volunteers Note Occasional Harsh Side Effects | The Daily Wire https://t.co/dOQFPsYJ8M	Martym226	Wed Dec 16 22:15:36 +0000 2020	https://twitter.com/twitter/statuses/1339333382497505280	0	0	[]
12	19226	"Reaction to Covid vaccine! 😂 https://t.co/u3lirGSpxI
#coronavirus #vaccine #COVID19 #CovidVaccine"	jcookess	Thu Dec 17 13:25:47 +0000 2020	https://twitter.com/twitter/statuses/1339562438606401537	0	0	[{'text': 'coronavirus', 'indices': [53, 65]}, {'text': 'vaccine', 'indices': [66, 74]}, {'text': 'COVID19', 'indices': [75, 83]}, {'text': 'CovidVaccine', 'indices': [84, 97]}]
13	10246	U.S. #Healthcare Worker Suffers Severe Allergic Reaction To COVID Vaccine https://t.co/PjSEkHOGU7	wtam1100	Wed Dec 16 22:14:35 +0000 2020	https://twitter.com/twitter/statuses/1339333127685230593	0	0	[{'text': 'Healthcare', 'indices': [5, 16]}]
14	9300	First it was Covid, then 5G and now you're against the vaccine?🤦‍♂️ https://t.co/ZEqOX5Rpv2	Farouq_Siyi	Wed Dec 16 22:13:35 +0000 2020	https://twitter.com/twitter/statuses/1339332875125186560	0	1	[]
15	14228	@ShyChump @bette_oh Vaccines have always been fucked up. The same ingredients in covid are in every other vaccine. Vaccine manufacturers haven’t been liable since 1986.	gjamieleee	Wed Dec 16 22:18:40 +0000 2020	https://twitter.com/twitter/statuses/1339334154140397568	0	0	[]
