QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
15	17703	"5,697 new cases and 107 new deaths in Romania 

[12:18 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:18:24 +0000 2020	https://twitter.com/twitter/statuses/1339545480997552128	0	0	[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'CoronaVirusUpdate', 'indices': [73, 91]}, {'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CoronavirusPandemic', 'indices': [101, 121]}]
16	17579	"60 new cases and 2 new deaths in Malta 

[12:12 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:12:53 +0000 2020	https://twitter.com/twitter/statuses/1339544092108320770	0	0	[{'text': 'coronavirus', 'indices': [53, 65]}, {'text': 'CoronaVirusUpdate', 'indices': [66, 84]}, {'text': 'COVID19', 'indices': [85, 93]}, {'text': 'CoronavirusPandemic', 'indices': [94, 114]}]
17	16972	"1,040 new cases and 12 new deaths in Latvia 

[11:45 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 11:45:21 +0000 2020	https://twitter.com/twitter/statuses/1339537160995794945	0	0	[{'text': 'coronavirus', 'indices': [58, 70]}, {'text': 'CoronaVirusUpdate', 'indices': [71, 89]}, {'text': 'COVID19', 'indices': [90, 98]}, {'text': 'CoronavirusPandemic', 'indices': [99, 119]}]
18	16760	"358 new cases and 12 new deaths in Finland 

[11:34 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 11:34:22 +0000 2020	https://twitter.com/twitter/statuses/1339534399201800192	0	0	[{'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'CoronaVirusUpdate', 'indices': [70, 88]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'CoronavirusPandemic', 'indices': [98, 118]}]
19	16538	"7,453 new cases and 212 new deaths in Iran 

[11:23 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 11:23:22 +0000 2020	https://twitter.com/twitter/statuses/1339531630806003713	0	0	[{'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'CoronaVirusUpdate', 'indices': [70, 88]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'CoronavirusPandemic', 'indices': [98, 118]}]
20	16429	"706 new cases and 13 new deaths in Libya 

[11:17 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 11:17:52 +0000 2020	https://twitter.com/twitter/statuses/1339530246916370434	0	0	[{'text': 'coronavirus', 'indices': [55, 67]}, {'text': 'CoronaVirusUpdate', 'indices': [68, 86]}, {'text': 'COVID19', 'indices': [87, 95]}, {'text': 'CoronavirusPandemic', 'indices': [96, 116]}]
QUERY: 	covid vaccine
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	19226	"Reaction to Covid vaccine! 😂 https://t.co/u3lirGSpxI
#coronavirus #vaccine #COVID19 #CovidVaccine"	jcookess	Thu Dec 17 13:25:47 +0000 2020	https://twitter.com/twitter/statuses/1339562438606401537	0	0	[{'text': 'coronavirus', 'indices': [53, 65]}, {'text': 'vaccine', 'indices': [66, 74]}, {'text': 'COVID19', 'indices': [75, 83]}, {'text': 'CovidVaccine', 'indices': [84, 97]}]
